Cty,lat,ln
BHM,33.5635,-86.751
HSV,34.7304,-86.5861
MOB,30.6954,-88.0399
MGM,32.3006,-86.393
ANC,61.2181,-149.9003
ANN,55.0423,-131.5725
BET,60.7836,-161.8158
BTT,66.9166,-151.5285
CDB,55.2057,-162.7258
CDV,60.4914,-145.4775
BIG,63.9941,-145.7216
FAI,64.8378,-147.7164
GKN,62.155,-145.4565
HOM,59.6436,-151.5185
ILI,59.7545,-154.9102
JNU,58.3019,-134.4197
ENA,60.5656,-151.2453
KTN,55.3556,-131.6694
AKN,58.6769,-156.6499
ADQ,57.7541,-152.8375
OTZ,66.8847,-162.5986
MCG,62.9529,-155.6066
OME,64.5433,-165.0394
ORT,62.9612,-141.9294
PAQ,61.594,-149.0889
PSG,56.8019,-132.9554
PTI,59.0069,-161.8072
SYA,52.7124,-174.1137